Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
27303,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Karen Armstrong,"Armstrong, Karen",,"=""0345384563""","=""9780345384560""",5,3.85,Ballantine Books,Paperback,496,1994,1975,2010/03/05,2007/07/25,,,read,"This book is taking me forever to read.<br/><br/>But anyway, thoughts.<br/><br/>The author's neutrality towards God is incredibly impressive and quite a relief after a few of the works I've read lately. Although I do wish that there were more time spent on non-Abrahamic religions, there just aren't many other major monotheistic ones...<br/><br/>The account of the creation of the Trinity, which I feel like I've read at least four times in different places, really annoyed me... the unknowable paradox of the Trinity, which I had always thought (back in the dizzle) was something basic to Christianity, seems to be just the haphazard result of lots of stupid bickering. And then now that real Christian philosophy dies, we get an oversimplified, anthropomorphisized, really... backwards attempt to package all facets of God into Jesus. The fact is, belief in Jesus as divine and all-encompassing just isn't 'original' or, really, fundamental to Jesus's teachings.<br/><br/>So says I, at least. I'll add more as I think more.",,,1,,,0,,,,,
143170,Sixty Stories,Donald Barthelme,"Barthelme, Donald",David Gates,"=""0142437395""","=""9780142437391""",4,4.21,Penguin Classics,Paperback,451,2003,1981,,2007/07/01,,,read,"If anyone wants this book, it's yours.",,,1,,,0,,,,,
118008,White Noise,Don DeLillo,"DeLillo, Don",,"=""""","=""""",2,3.86,Penguin Books,Paperback,326,1986,1985,,2007/06/28,,,read,"I've gotta say, this one irritated me. Especially the dialogue, which seemed weirdly and poorly constructed.",,,1,,,0,,,,,
1701,Augustine: A New Biography,James J. O'Donnell,"O'Donnell, James J.",,"=""0060535385""","=""9780060535384""",2,3.67,Harper Perennial,Paperback,432,2006,1985,,2007/06/27,,,read,Suffered through this one. Not very interesting or great.,,,1,,,0,,,,,
412791,Evil: An Investigation,Lance Morrow,"Morrow, Lance",,"=""0465047556""","=""9780465047550""",3,3.18,Basic Books,Paperback,288,2004,2003,2005/01/01,2007/06/26,,,read,Simply didn't congeal into anything 'useful' in the realm of personal philosophy or understanding. But interesting tidbits scattered throughout it.,,,1,,,0,,,,,
239100,Digital Fortress,Dan Brown,"Brown, Dan",,"=""0312995423""","=""9780312995423""",1,3.61,St. Martin's Paperbacks,Mass Market Paperback,431,2004,1998,,2007/06/26,,,read,Essentially a poorly-written [author:Michael Chrichton] novel. He could have been better aware of the technology he wrote about.,,,1,,,0,,,,,
99944,The Bhagavad Gita,Krishna-Dwaipayana Vyasa,"Vyasa, Krishna-Dwaipayana","Simon Brodbeck, Juan Mascaró","=""0140449183""","=""9780140449181""",4,4.10,Penguin,Paperback,160,2003,-400,,2007/06/23,,,read,"Surprisingly accessible. Definitely an interesting perspective on power and attachment in (everybody's, including god's) action.",,,1,,,0,,,,,
2210223,Meatball Sundae: Is Your Marketing Out of Sync?,Seth Godin,"Godin, Seth",,"=""1591841747""","=""9781591841746""",3,3.73,Portfolio,Hardcover,256,2008,2007,,2009/09/26,,,read,,,,1,,,0,,,,,
113171,The Jazz Theory Book,Mark LeVine,"LeVine, Mark",,"=""1883217040""","=""9781883217044""",4,4.44,Sher Music Co.,Spiral-bound,522,2005,1995,,2009/09/03,,,read,,,,1,,,0,,,,,
1301183,The Southern Baptists: A Subculture in Transition,Ellen MacGilvra Rosenberg,"Rosenberg, Ellen MacGilvra",,"=""0870495984""","=""9780870495984""",5,4.50,University of Tennessee Press,Hardcover,240,1989,1989,,2009/08/30,,,read,"Amazed that there aren't any reviews for this one... I'm still reading it, to be honest, but I'm really into it. This hits that really cool point in religious studies writing where stereotypes, races, genders, and cultures are all taken correctly into account and seen as real factors on the development of religion. It does get a little intense at points: it's clear that Rosenberg does not identify as an agrarian Baptist southerner, but, given the lack of similar works, it has a responsibility to be a little over-the-top in introducing so many principles and facts of the Southern Baptist tradition which are probably obvious for someone deeply involved, but rather opaque to the outside world.",,,1,,,1,,,Good,,
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""1594480001""","=""9781594480003""",3,4.26,Riverhead Books,Paperback,371,2004,2003,,2009/08/20,,,read,,,,1,,,0,,,,,
7745,Fear and Loathing in Las Vegas,Hunter S. Thompson,"Thompson, Hunter S.",Ralph Steadman,"=""0679785892""","=""9780679785897""",3,4.08,Vintage Books,Paperback,204,1998,1971,,2008/06/11,,,read,,,,1,,,0,,,,,
920197,Pro Drupal Development,John K. VanDyk,"VanDyk, John K.",Matt Westgate,"=""1590597559""","=""9781590597552""",4,3.99,Apress,Paperback,428,2007,2007,,2008/05/18,,,read,,,,1,,,0,,,,,
48464,A Good Man is Hard to Find and Other Stories,Flannery O'Connor,"O'Connor, Flannery",,"=""0151365040""","=""9780151365043""",4,4.24,Houghton Mifflin Harcourt,Hardcover,252,1992,1953,,2008/04/28,,,read,,,,1,,,0,,,,,
1129035,Noble Powell and the Episcopal Establishment in the Twentieth Century,David Hein,"Hein, David",,"=""1556353944""","=""9781556353949""",1,3.00,Wipf & Stock Publishers,Paperback,182,2007,2001,,2008/04/28,,,read,,,,1,,,0,,,,,
1201676,An Introduction to Hinduism,Gavin D. Flood,"Flood, Gavin D.",,"=""0521438780""","=""9780521438780""",3,3.79,Cambridge University Press,Paperback,367,1996,1996,,2007/06/23,,,read,"Wasn't bad, although it dismisses almost every 19th century philosopher without hesitation, and it doesn't quite treat nationalist groups with academic equality.",,,1,,,0,,,,,
